threshold,accuracy,precision_incorrect,recall_incorrect,f1_incorrect,macro_f1,mcc,true_negative,false_positive,false_negative,true_positive,model_id,feature_set,class_weight,feature_count
0.54,0.613476733977173,0.6164906103286385,0.8223091976516634,0.7046788529263793,0.5727268510424212,0.19334536317616913,694,1307,454,2101,ann_raw_99_none,raw_99,none,99
0.55,0.6145741878841089,0.6173964149280047,0.8223091976516634,0.7052702249076871,0.574258447900895,0.19591967246156605,699,1302,454,2101,ann_raw_99_none,raw_99,none,99
0.56,0.6161106233538192,0.6187389510901591,0.821917808219178,0.7060010085728694,0.5765224770970575,0.19952443951739068,707,1294,455,2100,ann_raw_99_none,raw_99,none,99
0.57,0.6163301141352063,0.6191319751992914,0.8207436399217222,0.705822955233928,0.5772016984371533,0.20006890166202354,711,1290,458,2097,ann_raw_99_none,raw_99,none,99
0.58,0.6163301141352063,0.6193433895297249,0.8195694716242662,0.7055256064690026,0.577573886357927,0.20010320744818563,714,1287,461,2094,ann_raw_99_none,raw_99,none,99
0.59,0.6163301141352063,0.6195555555555555,0.8183953033268102,0.7052276559865093,0.5779438091371892,0.20013976384641646,717,1284,464,2091,ann_raw_99_none,raw_99,none,99
0.6,0.6174275680421423,0.6204747774480712,0.8183953033268102,0.7058227848101266,0.5794567328506234,0.2026916229903631,722,1279,464,2091,ann_raw_99_none,raw_99,none,99
0.61,0.6185250219490781,0.6213967310549777,0.8183953033268102,0.706418918918919,0.5809663516900359,0.2052381633303561,727,1274,464,2091,ann_raw_99_none,raw_99,none,99
0.62,0.6185250219490781,0.6216860291927316,0.8168297455968689,0.706021650879567,0.5814483254397835,0.20528440789075522,731,1270,468,2087,ann_raw_99_none,raw_99,none,99
0.63,0.6189640035118525,0.622202327663384,0.8160469667318982,0.7060616322384016,0.5822884580405981,0.20632444988386583,735,1266,470,2085,ann_raw_99_none,raw_99,none,99
0.64,0.6200614574187884,0.6231320980274955,0.8160469667318982,0.70665988815455,0.5837877453852788,0.2088594295599073,740,1261,470,2085,ann_raw_99_none,raw_99,none,99
0.65,0.6205004389815628,0.6235786953919809,0.815655577299413,0.7068000678311006,0.5845042329824244,0.20988343962356681,743,1258,471,2084,ann_raw_99_none,raw_99,none,99
0.66,0.6209394205443372,0.6241007194244604,0.8148727984344423,0.7068409438125954,0.5853360260820195,0.21091802623962472,747,1254,473,2082,ann_raw_99_none,raw_99,none,99
0.67,0.6211589113257243,0.6243624362436243,0.814481409001957,0.7068614130434783,0.5857508057773223,0.21143500007886565,749,1252,474,2081,ann_raw_99_none,raw_99,none,99
0.68,0.6215978928884986,0.6250376166114956,0.8129158512720157,0.706702960190541,0.5868084992665754,0.2124931296892435,755,1246,478,2077,ann_raw_99_none,raw_99,none,99
