threshold,accuracy,precision_incorrect,recall_incorrect,f1_incorrect,macro_f1,mcc,roc_auc,pr_auc,true_negative,false_positive,false_negative,true_positive,predicted_incorrect_rate,seed,algorithm_family,algorithm,model_id,feature_set,class_weight,train_seconds,predict_seconds,epochs_run
0.5,0.681079894644425,0.6507936507936508,0.9307240704500979,0.7659848606861008,0.6327340769155616,0.3649746293114351,0.6710972302498457,0.6973157560855231,725,1276,177,2378,0.8020193151887621,46,Decision Tree,decision_tree,decision_tree_none__combined_v2_with_view,combined_v2_with_view,none,1.046841699979268,0.002475599991157651,
0.5,0.6591308165057067,0.8143036386449184,0.5080234833659492,0.6256929380573633,0.6563886814002311,0.37471609931079447,0.732626250475545,0.8270903665431092,1705,296,1257,1298,0.3498683055311677,42,ANN/Keras,ann_keras,ann_keras_balanced__normalized_99,normalized_99,balanced,13.914337299996987,0.25002169993240386,35.0
0.5,0.7392449517120281,0.8966918165989554,0.6046966731898239,0.7223001402524544,0.7382704673128222,0.5278188008525889,0.7698385640839072,0.846785728031986,1823,178,1010,1545,0.37818261633011413,43,ANN/Keras,ann_keras,ann_keras_balanced__normalized_99,normalized_99,balanced,13.261662999982946,0.24348059995099902,34.0
0.5,0.6600087796312555,0.7480276134122288,0.5937377690802348,0.6620117826751036,0.6599968385665207,0.33789557515764124,0.706014409624933,0.8096272091245533,1490,511,1038,1517,0.44512730465320455,44,ANN/Keras,ann_keras,ann_keras_balanced__normalized_99,normalized_99,balanced,17.962588499998674,0.23741409997455776,47.0
0.5,0.6057945566286216,0.6848514369215781,0.550293542074364,0.6102430555555556,0.605743197404776,0.2263780196095185,0.6475738647310396,0.769707218723658,1354,647,1149,1406,0.4506145741878841,45,ANN/Keras,ann_keras,ann_keras_balanced__normalized_99,normalized_99,balanced,13.205946099944413,0.24174460000358522,34.0
0.5,0.5785776997366111,0.6988102692548529,0.43679060665362035,0.5375722543352601,0.5752377400708559,0.2042957880278424,0.6288845792368003,0.7675247998589537,1520,481,1439,1116,0.3505267778753292,46,ANN/Keras,ann_keras,ann_keras_balanced__normalized_99,normalized_99,balanced,13.806011899956502,0.23791080003138632,36.0
0.5,0.5838454784899034,0.5740283082453381,1.0,0.7293748215815016,0.41454496064830065,0.17355525192325694,0.5738641442488148,0.6043534563462026,105,1896,0,2555,0.9769534679543459,42,MLPClassifier,mlp_sklearn,mlp_sklearn_none__raw_99,raw_99,none,1.4055947000160813,0.005334399989806116,
0.5,0.5759438103599649,0.5718569780853517,0.9702544031311154,0.7195936139332366,0.42505333261918354,0.09868268585272484,0.5658714673974168,0.6047072519159129,145,1856,76,2479,0.9514925373134329,43,MLPClassifier,mlp_sklearn,mlp_sklearn_none__raw_99,raw_99,none,2.024885900085792,0.005304599995724857,
0.5,0.5283143107989464,0.5480359678182679,0.9064579256360078,0.6830850906945878,0.38058158438633294,-0.09202896487781306,0.5724294408568711,0.6137815187172944,91,1910,239,2316,0.92756804214223,44,MLPClassifier,mlp_sklearn,mlp_sklearn_none__raw_99,raw_99,none,2.3446552000241354,0.005333399982191622,
0.5,0.5283143107989464,0.547945205479452,0.9080234833659491,0.6834585358668435,0.37918083917750267,-0.09391646844798042,0.5507681579953663,0.5883565469275649,87,1914,235,2320,0.9293239683933274,45,MLPClassifier,mlp_sklearn,mlp_sklearn_none__raw_99,raw_99,none,1.6828298999462277,0.00584800005890429,
0.5,0.4798068481123793,0.5230846019465935,0.8203522504892368,0.6388296251142944,0.354708930204206,-0.20530275704035064,0.5697627702782659,0.6252443133033043,90,1911,459,2096,0.8794995610184372,46,MLPClassifier,mlp_sklearn,mlp_sklearn_none__raw_99,raw_99,none,2.215827399981208,0.005266799940727651,
