threshold,accuracy,precision_incorrect,recall_incorrect,f1_incorrect,macro_f1,mcc,roc_auc,pr_auc,true_negative,false_positive,false_negative,true_positive,n_test,model_id,algorithm,algorithm_family,feature_set,class_weight,threshold_source,feature_count,train_seconds,predict_seconds
0.2,0.574846356453029,0.5687889581478184,1.0,0.725131261529729,0.3935583668423463,0.13487828062900814,0.5738641442488148,0.6043534563462026,64,1937,0,2555,4556,mlp_sklearn_none__raw_99,mlp_sklearn,MLPClassifier,raw_99,none,external_threshold_sweep,99,1.4273,0.0056
0.21,0.574846356453029,0.5687889581478184,1.0,0.725131261529729,0.3935583668423463,0.13487828062900814,0.5738641442488148,0.6043534563462026,64,1937,0,2555,4556,mlp_sklearn_none__raw_99,mlp_sklearn,MLPClassifier,raw_99,none,external_threshold_sweep,99,1.4273,0.0056
0.22,0.5752853380158033,0.5690423162583519,1.0,0.7253371185237757,0.39459889307901413,0.13700004354218406,0.5738641442488148,0.6043534563462026,66,1935,0,2555,4556,mlp_sklearn_none__raw_99,mlp_sklearn,MLPClassifier,raw_99,none,external_threshold_sweep,99,1.4273,0.0056
0.23,0.5755048287971906,0.569169079973268,1.0,0.7254400908574673,0.39511849803995225,0.13804939464345278,0.5738641442488148,0.6043534563462026,67,1934,0,2555,4556,mlp_sklearn_none__raw_99,mlp_sklearn,MLPClassifier,raw_99,none,external_threshold_sweep,99,1.4273,0.0056
0.24,0.5755048287971906,0.569169079973268,1.0,0.7254400908574673,0.39511849803995225,0.13804939464345278,0.5738641442488148,0.6043534563462026,67,1934,0,2555,4556,mlp_sklearn_none__raw_99,mlp_sklearn,MLPClassifier,raw_99,none,external_threshold_sweep,99,1.4273,0.0056
0.25,0.5757243195785777,0.5692959001782532,1.0,0.7255430924322022,0.39563766511411946,0.1390912916481633,0.5738641442488148,0.6043534563462026,68,1933,0,2555,4556,mlp_sklearn_none__raw_99,mlp_sklearn,MLPClassifier,raw_99,none,external_threshold_sweep,99,1.4273,0.0056
0.26,0.5759438103599649,0.5694227769110765,1.0,0.7256461232604374,0.39615639496355204,0.14012590113661166,0.5738641442488148,0.6043534563462026,69,1932,0,2555,4556,mlp_sklearn_none__raw_99,mlp_sklearn,MLPClassifier,raw_99,none,external_threshold_sweep,99,1.4273,0.0056
0.27,0.5763827919227392,0.5696767001114827,1.0,0.7258522727272727,0.39719254563004563,0.1421738940378461,0.5738641442488148,0.6043534563462026,71,1930,0,2555,4556,mlp_sklearn_none__raw_99,mlp_sklearn,MLPClassifier,raw_99,none,external_threshold_sweep,99,1.4273,0.0056
0.28,0.5763827919227392,0.5696767001114827,1.0,0.7258522727272727,0.39719254563004563,0.1421738940378461,0.5738641442488148,0.6043534563462026,71,1930,0,2555,4556,mlp_sklearn_none__raw_99,mlp_sklearn,MLPClassifier,raw_99,none,external_threshold_sweep,99,1.4273,0.0056
0.29,0.5770412642669008,0.5700580098170459,1.0,0.7261617166406139,0.3987435089227166,0.14519506038584945,0.5738641442488148,0.6043534563462026,74,1927,0,2555,4556,mlp_sklearn_none__raw_99,mlp_sklearn,MLPClassifier,raw_99,none,external_threshold_sweep,99,1.4273,0.0056
0.3,0.5774802458296752,0.5703125,1.0,0.7263681592039801,0.39977531696356927,0.14717691557360862,0.5738641442488148,0.6043534563462026,76,1925,0,2555,4556,mlp_sklearn_none__raw_99,mlp_sklearn,MLPClassifier,raw_99,none,external_threshold_sweep,99,1.4273,0.0056
0.31,0.5776997366110623,0.5704398303192677,1.0,0.7264714245095252,0.400290572697496,0.14815855691892268,0.5738641442488148,0.6043534563462026,77,1924,0,2555,4556,mlp_sklearn_none__raw_99,mlp_sklearn,MLPClassifier,raw_99,none,external_threshold_sweep,99,1.4273,0.0056
0.32,0.5781387181738367,0.5706946616037525,1.0,0.7266780432309442,0.4013197908462413,0.15010387585460588,0.5738641442488148,0.6043534563462026,79,1922,0,2555,4556,mlp_sklearn_none__raw_99,mlp_sklearn,MLPClassifier,raw_99,none,external_threshold_sweep,99,1.4273,0.0056
0.33,0.5781387181738367,0.5706946616037525,1.0,0.7266780432309442,0.4013197908462413,0.15010387585460588,0.5738641442488148,0.6043534563462026,79,1922,0,2555,4556,mlp_sklearn_none__raw_99,mlp_sklearn,MLPClassifier,raw_99,none,external_threshold_sweep,99,1.4273,0.0056
0.34,0.5790166812993854,0.5712050078247262,1.0,0.7270916334661355,0.4033730720113787,0.1539258303343012,0.5738641442488148,0.6043534563462026,83,1918,0,2555,4556,mlp_sklearn_none__raw_99,mlp_sklearn,MLPClassifier,raw_99,none,external_threshold_sweep,99,1.4273,0.0056
0.35,0.5790166812993854,0.5712050078247262,1.0,0.7270916334661355,0.4033730720113787,0.1539258303343012,0.5738641442488148,0.6043534563462026,83,1918,0,2555,4556,mlp_sklearn_none__raw_99,mlp_sklearn,MLPClassifier,raw_99,none,external_threshold_sweep,99,1.4273,0.0056
0.36,0.5794556628621598,0.5714605233728473,1.0,0.7272986051807572,0.40439714535164417,0.15580415519477658,0.5738641442488148,0.6043534563462026,85,1916,0,2555,4556,mlp_sklearn_none__raw_99,mlp_sklearn,MLPClassifier,raw_99,none,external_threshold_sweep,99,1.4273,0.0056
0.37,0.5796751536435469,0.5715883668903803,1.0,0.7274021352313167,0.4049085424599324,0.15673549938639428,0.5738641442488148,0.6043534563462026,86,1915,0,2555,4556,mlp_sklearn_none__raw_99,mlp_sklearn,MLPClassifier,raw_99,none,external_threshold_sweep,99,1.4273,0.0056
0.38,0.5801141352063214,0.5718442256042973,1.0,0.7276092837818596,0.40593006075162874,0.15858301182903764,0.5738641442488148,0.6043534563462026,88,1913,0,2555,4556,mlp_sklearn_none__raw_99,mlp_sklearn,MLPClassifier,raw_99,none,external_threshold_sweep,99,1.4273,0.0056
0.39,0.5807726075504829,0.5722284434490481,1.0,0.7279202279202279,0.4074591579371694,0.16131764468181667,0.5738641442488148,0.6043534563462026,91,1910,0,2555,4556,mlp_sklearn_none__raw_99,mlp_sklearn,MLPClassifier,raw_99,none,external_threshold_sweep,99,1.4273,0.0056
0.4,0.58099209833187,0.5723566308243727,1.0,0.7280239350334805,0.4079680114727842,0.16221975032105074,0.5738641442488148,0.6043534563462026,92,1909,0,2555,4556,mlp_sklearn_none__raw_99,mlp_sklearn,MLPClassifier,raw_99,none,external_threshold_sweep,99,1.4273,0.0056
0.41,0.5816505706760317,0.5727415377718,1.0,0.7283352337514253,0.40949204435662867,0.1648988393850764,0.5738641442488148,0.6043534563462026,95,1906,0,2555,4556,mlp_sklearn_none__raw_99,mlp_sklearn,MLPClassifier,raw_99,none,external_threshold_sweep,99,1.4273,0.0056
0.42,0.582089552238806,0.5729984301412873,1.0,0.7285429141716567,0.4105059661420724,0.16666294007383706,0.5738641442488148,0.6043534563462026,97,1904,0,2555,4556,mlp_sklearn_none__raw_99,mlp_sklearn,MLPClassifier,raw_99,none,external_threshold_sweep,99,1.4273,0.0056
0.43,0.582089552238806,0.5729984301412873,1.0,0.7285429141716567,0.4105059661420724,0.16666294007383706,0.5738641442488148,0.6043534563462026,97,1904,0,2555,4556,mlp_sklearn_none__raw_99,mlp_sklearn,MLPClassifier,raw_99,none,external_threshold_sweep,99,1.4273,0.0056
0.44,0.5825285338015803,0.5732555530625981,1.0,0.7287507130633201,0.4115182136745172,0.16841012110960712,0.5738641442488148,0.6043534563462026,99,1902,0,2555,4556,mlp_sklearn_none__raw_99,mlp_sklearn,MLPClassifier,raw_99,none,external_threshold_sweep,99,1.4273,0.0056
0.45,0.5827480245829675,0.5733842010771992,1.0,0.7288546569676223,0.4120237111587279,0.16927753132815263,0.5738641442488148,0.6043534563462026,100,1901,0,2555,4556,mlp_sklearn_none__raw_99,mlp_sklearn,MLPClassifier,raw_99,none,external_threshold_sweep,99,1.4273,0.0056
0.46,0.5829675153643546,0.5735129068462402,1.0,0.7289586305278174,0.4125287919527765,0.170140905815795,0.5738641442488148,0.6043534563462026,101,1900,0,2555,4556,mlp_sklearn_none__raw_99,mlp_sklearn,MLPClassifier,raw_99,none,external_threshold_sweep,99,1.4273,0.0056
0.47,0.5831870061457419,0.5736416704086215,1.0,0.7290626337565986,0.4130334566785846,0.17100030596031235,0.5738641442488148,0.6043534563462026,102,1899,0,2555,4556,mlp_sklearn_none__raw_99,mlp_sklearn,MLPClassifier,raw_99,none,external_threshold_sweep,99,1.4273,0.0056
0.48,0.5834064969271291,0.5737704918032787,1.0,0.7291666666666666,0.4135377059569075,0.17185579164319195,0.5738641442488148,0.6043534563462026,103,1898,0,2555,4556,mlp_sklearn_none__raw_99,mlp_sklearn,MLPClassifier,raw_99,none,external_threshold_sweep,99,1.4273,0.0056
0.49,0.5834064969271291,0.5737704918032787,1.0,0.7291666666666666,0.4135377059569075,0.17185579164319195,0.5738641442488148,0.6043534563462026,103,1898,0,2555,4556,mlp_sklearn_none__raw_99,mlp_sklearn,MLPClassifier,raw_99,none,external_threshold_sweep,99,1.4273,0.0056
0.5,0.5838454784899034,0.5740283082453381,1.0,0.7293748215815016,0.41454496064830065,0.17355525192325694,0.5738641442488148,0.6043534563462026,105,1896,0,2555,4556,mlp_sklearn_none__raw_99,mlp_sklearn,MLPClassifier,raw_99,none,external_threshold_sweep,99,1.4273,0.0056
0.51,0.5847234416154522,0.5745446368338205,1.0,0.729791488146244,0.4165545118456338,0.1769096780573297,0.5738641442488148,0.6043534563462026,109,1892,0,2555,4556,mlp_sklearn_none__raw_99,mlp_sklearn,MLPClassifier,raw_99,none,external_threshold_sweep,99,1.4273,0.0056
0.52,0.5853819139596137,0.5749324932493249,1.0,0.7301043006143735,0.41805735617562023,0.17938820908070743,0.5738641442488148,0.6043534563462026,112,1889,0,2555,4556,mlp_sklearn_none__raw_99,mlp_sklearn,MLPClassifier,raw_99,none,external_threshold_sweep,99,1.4273,0.0056
0.53,0.585820895522388,0.575191355245385,1.0,0.730312991281978,0.4190572048608472,0.1810235412529074,0.5738641442488148,0.6043534563462026,114,1887,0,2555,4556,mlp_sklearn_none__raw_99,mlp_sklearn,MLPClassifier,raw_99,none,external_threshold_sweep,99,1.4273,0.0056
0.54,0.5860403863037752,0.5753208736770997,1.0,0.7304173813607776,0.41955651676734534,0.18183623958776624,0.5738641442488148,0.6043534563462026,115,1886,0,2555,4556,mlp_sklearn_none__raw_99,mlp_sklearn,MLPClassifier,raw_99,none,external_threshold_sweep,99,1.4273,0.0056
0.55,0.5866988586479368,0.5757097791798107,1.0,0.7307307307307307,0.4210520100090652,0.18425499184716418,0.5738641442488148,0.6043534563462026,118,1883,0,2555,4556,mlp_sklearn_none__raw_99,mlp_sklearn,MLPClassifier,raw_99,none,external_threshold_sweep,99,1.4273,0.0056
