threshold,accuracy,precision_incorrect,recall_incorrect,f1_incorrect,macro_f1,mcc,roc_auc,pr_auc,true_negative,false_positive,false_negative,true_positive,model_id,algorithm,class_weight,feature_set,feature_count,train_seconds,predict_seconds
0.5,0.6266461808604039,0.6485734168406402,0.7295499021526419,0.6866826303186591,0.6124154395144747,0.23118695389026916,0.7343951312015226,0.8108043537292513,991,1010,691,1864,svm_rbf_none__combined_v2_with_view,svm_rbf,none,combined_v2_with_view,130,7.812,0.329
0.5,0.7164179104477612,0.9310580204778157,0.5338551859099804,0.6786069651741293,0.7124378109452736,0.5136174133604967,0.8105655587079259,0.8439379650887948,1900,101,1191,1364,logistic_regression_balanced__ergonomic_v2_with_view,logistic_regression,balanced,ergonomic_v2_with_view,31,0.086,0.003
0.5,0.6878841088674276,0.9060931899641577,0.49471624266144815,0.64,0.682262688880279,0.46219890571500427,0.7125437281359321,0.7896992369975939,1870,131,1291,1264,logistic_regression_none__combined_v2,logistic_regression,none,combined_v2,126,0.631,0.007
0.5,0.634108867427568,0.7288659793814433,0.5534246575342465,0.6291434927697441,0.6340432646867997,0.2916280185545748,0.6807654880974385,0.7524091169080728,1475,526,1141,1414,svm_rbf_none__ergonomic_14,svm_rbf,none,ergonomic_14,14,4.723,0.441
0.5,0.679982440737489,0.9078066914498141,0.47788649706457925,0.6261538461538462,0.6732073912273452,0.45252739580738455,0.7122736087924727,0.7934515887004918,1877,124,1334,1221,logistic_regression_balanced__combined_v2,logistic_regression,balanced,combined_v2,126,0.6,0.007
0.5,0.6837137840210711,0.9392744479495269,0.46614481409001957,0.6230708867381638,0.6753093136659244,0.47358311994773583,0.848573169383997,0.8707514562160634,1924,77,1364,1191,logistic_regression_none__ergonomic_v2,logistic_regression,none,ergonomic_v2,27,0.068,0.002
0.5,0.6284021071115014,0.7297441364605544,0.535812133072407,0.6179192055969307,0.628122174898444,0.28481284401179524,0.6665448097868873,0.7874192738876707,1494,507,1186,1369,mlp_sklearn_none__combined_v2_with_view,mlp_sklearn,none,combined_v2_with_view,130,7.653,0.009
0.5,0.6167690956979807,0.708397733127254,0.538160469667319,0.6116548042704626,0.6167026187730129,0.2562267260402647,0.6709230511945593,0.743657803379724,1435,566,1180,1375,svm_rbf_balanced__ergonomic_14,svm_rbf,balanced,ergonomic_14,14,4.884,0.454
0.5,0.6611062335381914,0.8970934799685781,0.44696673189823877,0.5966562173458725,0.6522266703686213,0.4219522307436018,0.8091128603995458,0.8015268475505106,1870,131,1413,1142,logistic_regression_balanced__ergonomic_14,logistic_regression,balanced,ergonomic_14,14,0.053,0.002
0.5,0.6668129938542581,0.9420289855072463,0.4324853228962818,0.5928111587982833,0.6554323253129604,0.4523242165205954,0.8375632144788663,0.8638120649318775,1933,68,1450,1105,logistic_regression_balanced__ergonomic_v2,logistic_regression,balanced,ergonomic_v2,27,0.077,0.002
