threshold,accuracy,precision_incorrect,recall_incorrect,f1_incorrect,macro_f1,mcc,roc_auc,pr_auc,true_negative,false_positive,false_negative,true_positive,model_id,algorithm,class_weight,feature_set
0.4,0.7594381035996488,0.7083690374178806,0.9706457925636007,0.8190224570673712,0.7301918568059369,0.5416676380577674,0.9095224403453851,0.9334511788566117,980,1021,75,2480,random_forest_balanced__ergonomic_v2_with_view,random_forest,balanced,ergonomic_v2_with_view
0.41,0.7776558384547849,0.7270318021201413,0.9663405088062622,0.8297765081498908,0.7546541509430251,0.5731079469624878,0.9095224403453851,0.9334511788566117,1074,927,86,2469,random_forest_balanced__ergonomic_v2_with_view,random_forest,balanced,ergonomic_v2_with_view
0.42,0.7914837576821774,0.7422275882885602,0.962426614481409,0.8381049761417859,0.7726283203766883,0.5968232344592467,0.9095224403453851,0.9334511788566117,1147,854,96,2459,random_forest_balanced__ergonomic_v2_with_view,random_forest,balanced,ergonomic_v2_with_view
0.43,0.8033362598770851,0.7562557924003707,0.9581213307240705,0.8453038674033149,0.7877121746655129,0.6169707246106578,0.9095224403453851,0.9334511788566117,1212,789,107,2448,random_forest_balanced__ergonomic_v2_with_view,random_forest,balanced,ergonomic_v2_with_view
0.44,0.8075065847234416,0.7628446115288221,0.9530332681017613,0.847398642770141,0.7933872857238521,0.6227855279821481,0.9095224403453851,0.9334511788566117,1244,757,120,2435,random_forest_balanced__ergonomic_v2_with_view,random_forest,balanced,ergonomic_v2_with_view
0.45,0.8180421422300264,0.7762483994878361,0.949119373776908,0.854023595703469,0.8062719201937094,0.641200892762105,0.9095224403453851,0.9334511788566117,1302,699,130,2425,random_forest_balanced__ergonomic_v2_with_view,random_forest,balanced,ergonomic_v2_with_view
0.46,0.8219929762949956,0.7833008447043535,0.9436399217221135,0.8560269838451979,0.8114570101749703,0.6469869637132788,0.9095224403453851,0.9334511788566117,1334,667,144,2411,random_forest_balanced__ergonomic_v2_with_view,random_forest,balanced,ergonomic_v2_with_view
0.47,0.8296751536435469,0.7958097771865646,0.9365949119373776,0.8604818410643653,0.8209451458842953,0.6597715762929632,0.9095224403453851,0.9334511788566117,1387,614,162,2393,random_forest_balanced__ergonomic_v2_with_view,random_forest,balanced,ergonomic_v2_with_view
0.48,0.8340649692712906,0.8043993231810491,0.9303326810176126,0.8627949183303085,0.8264557601090743,0.6668463081170782,0.9095224403453851,0.9334511788566117,1423,578,178,2377,random_forest_balanced__ergonomic_v2_with_view,random_forest,balanced,ergonomic_v2_with_view
0.49,0.8380158033362599,0.8155609586662036,0.9189823874755382,0.8641884431358116,0.8317679572938438,0.6725950866863529,0.9095224403453851,0.9334511788566117,1470,531,207,2348,random_forest_balanced__ergonomic_v2_with_view,random_forest,balanced,ergonomic_v2_with_view
0.5,0.8388937664618086,0.8236757909704941,0.9068493150684932,0.863263785394933,0.8336083884239622,0.672904177368041,0.9095224403453851,0.9334511788566117,1505,496,238,2317,random_forest_balanced__ergonomic_v2_with_view,random_forest,balanced,ergonomic_v2_with_view
0.51,0.8316505706760317,0.8291605301914581,0.8814090019569472,0.8544868146461772,0.827399616643578,0.6569631898230246,0.9095224403453851,0.9334511788566117,1537,464,303,2252,random_forest_balanced__ergonomic_v2_with_view,random_forest,balanced,ergonomic_v2_with_view
